partner_id,region,vertical,partner_tier,months_as_partner,nps_score,nps_trend,support_tickets_last_quarter,avg_resolution_time_days,engagement_score,days_since_last_contact,num_active_deals,has_competitor_relationship,churn_probability,churned_next_quarter
partner_26,EMEA,Tech,Bronze,47,10,stable,0,2.3,100.0,15,5,0,0.0001,0
partner_27,NA,Services,Silver,29,5,declining,6,3.6,46.6,46,0,0,0.0666,0
partner_28,EMEA,Tech,Bronze,43,7,improving,3,4.7,53.1,35,1,0,0.1399,0
partner_29,EMEA,Manufacturing,Silver,33,6,declining,4,5.0,48.1,63,0,1,0.3168,0
partner_30,LATAM,Tech,Silver,19,9,stable,0,2.1,88.3,26,1,0,0.0003,0
partner_31,LATAM,Manufacturing,Bronze,53,9,improving,0,2.1,71.0,13,6,0,0.0043,0
partner_32,APAC,Manufacturing,Silver,44,9,stable,1,2.2,62.9,22,4,1,0.0063,0
partner_33,NA,Tech,Bronze,47,6,stable,4,5.4,13.7,41,1,1,0.5612,0
partner_34,NA,Services,Bronze,57,8,stable,6,2.8,42.7,28,2,0,0.0159,0
partner_35,NA,Tech,Bronze,17,7,declining,7,2.6,33.2,89,1,0,0.1456,0
partner_36,EMEA,Manufacturing,Silver,8,3,declining,3,4.2,53.0,69,1,0,0.0713,0
partner_37,EMEA,Tech,Gold,36,7,improving,0,4.7,49.6,38,2,0,0.0111,0
partner_38,NA,Tech,Bronze,21,7,stable,3,3.8,62.4,22,1,1,0.0164,0
partner_39,EMEA,Tech,Silver,28,7,stable,4,4.8,48.5,26,3,1,0.0143,0
partner_40,LATAM,Retail,Silver,16,7,declining,2,4.1,49.6,21,3,0,0.0105,0
partner_41,NA,Retail,Bronze,26,3,stable,7,5.2,13.8,99,0,0,0.9024,1
partner_42,APAC,Manufacturing,Silver,25,4,declining,7,3.5,39.6,58,0,0,0.1945,1
partner_43,LATAM,Manufacturing,Silver,23,5,declining,6,3.0,43.7,67,1,0,0.1236,0
partner_44,NA,Manufacturing,Gold,46,6,stable,4,2.0,38.3,57,0,1,0.0723,0
partner_45,APAC,Retail,Gold,37,8,improving,1,4.0,62.2,2,3,0,0.0018,0
partner_46,APAC,Tech,Bronze,30,7,improving,3,2.7,57.4,37,1,1,0.0302,0
partner_47,NA,Retail,Bronze,9,8,improving,1,0.5,69.4,0,11,0,0.0009,0
partner_48,EMEA,Services,Silver,36,6,stable,2,4.9,46.6,56,2,0,0.0713,0
partner_49,LATAM,Services,Bronze,13,6,declining,8,3.8,53.3,27,4,0,0.0487,0
partner_50,EMEA,Retail,Bronze,21,10,stable,1,2.8,100.0,0,6,0,0.0001,0
partner_51,EMEA,Manufacturing,Gold,27,7,stable,3,3.9,40.3,68,2,0,0.1799,0
partner_52,EMEA,Retail,Bronze,11,4,declining,6,3.1,21.7,37,1,0,0.1045,0
partner_53,LATAM,Retail,Bronze,25,8,improving,2,3.5,87.7,24,2,0,0.0015,0
partner_54,LATAM,Retail,Silver,18,8,stable,1,4.2,74.8,0,0,0,0.0022,0
partner_55,LATAM,Retail,Bronze,52,5,improving,3,3.3,72.9,37,4,0,0.031,0
partner_56,LATAM,Manufacturing,Bronze,52,9,declining,0,5.0,61.7,44,3,0,0.021,0
partner_57,NA,Services,Gold,3,6,improving,6,4.7,47.0,23,3,0,0.0664,0
partner_58,NA,Retail,Bronze,37,5,declining,8,6.0,16.8,76,0,0,0.9527,1
partner_59,EMEA,Tech,Bronze,40,7,improving,2,1.2,82.2,29,4,1,0.008,0
partner_60,EMEA,Manufacturing,Bronze,24,7,improving,2,1.6,80.1,60,2,0,0.0064,0
partner_61,LATAM,Services,Gold,30,9,declining,2,5.0,46.4,20,4,0,0.0117,0
partner_62,NA,Manufacturing,Bronze,48,3,stable,6,2.2,0.0,65,0,1,0.928,1
partner_63,NA,Retail,Silver,24,10,improving,1,0.5,97.8,0,8,0,0.0002,0
partner_64,LATAM,Manufacturing,Bronze,6,5,improving,4,5.1,20.9,58,0,1,0.6002,0
partner_65,LATAM,Tech,Bronze,24,5,declining,7,3.3,37.0,38,3,0,0.1354,0
partner_66,NA,Services,Gold,17,5,declining,5,4.2,40.6,70,0,0,0.3036,0
partner_67,NA,Tech,Silver,25,9,declining,0,2.4,87.2,1,2,0,0.0004,0
partner_68,NA,Manufacturing,Gold,16,6,improving,2,2.2,49.7,25,3,0,0.0097,0
partner_69,EMEA,Retail,Bronze,11,7,declining,5,4.6,59.6,23,4,1,0.0644,0
partner_70,NA,Tech,Silver,60,9,stable,1,3.6,64.5,29,3,0,0.0014,0
partner_71,EMEA,Services,Gold,10,4,improving,5,5.4,0.0,112,1,0,0.9646,0
partner_72,NA,Manufacturing,Bronze,43,8,stable,4,2.6,58.1,0,2,1,0.045,0
partner_73,APAC,Tech,Bronze,44,4,declining,7,5.6,14.0,73,0,1,0.9808,1
partner_74,EMEA,Services,Gold,38,6,improving,3,6.8,33.8,65,4,1,0.6885,1
partner_75,EMEA,Services,Bronze,55,6,stable,0,2.6,40.9,32,1,0,0.1149,0
partner_76,EMEA,Tech,Silver,3,9,improving,3,5.1,68.3,40,3,1,0.1026,0
partner_77,EMEA,Tech,Gold,20,8,stable,1,0.5,62.5,56,2,0,0.0004,0
partner_78,LATAM,Tech,Bronze,13,6,declining,5,2.6,58.4,40,0,0,0.1621,0
partner_79,NA,Manufacturing,Bronze,36,5,declining,5,3.2,54.5,34,2,0,0.258,1
partner_80,LATAM,Tech,Bronze,39,6,improving,4,4.9,37.6,58,0,0,0.0728,0
partner_81,LATAM,Retail,Bronze,55,10,stable,0,1.7,38.8,21,3,0,0.0054,0
partner_82,NA,Services,Bronze,25,4,stable,2,5.7,53.3,42,0,0,0.127,0
partner_83,APAC,Services,Silver,16,1,improving,8,4.9,35.6,81,0,0,0.2988,0
partner_84,EMEA,Services,Bronze,56,6,stable,3,4.4,37.3,73,1,0,0.5052,0
partner_85,EMEA,Services,Silver,42,5,stable,6,3.6,56.4,47,0,0,0.1744,0
partner_86,EMEA,Manufacturing,Bronze,47,7,improving,2,6.7,37.1,49,2,1,0.1058,0
partner_87,LATAM,Services,Bronze,28,8,declining,3,2.3,42.0,58,3,1,0.0262,0
partner_88,NA,Services,Bronze,28,4,stable,4,3.2,33.8,38,1,0,0.0479,0
partner_89,EMEA,Tech,Silver,25,6,improving,1,0.9,82.6,46,4,0,0.0077,0
partner_90,NA,Tech,Bronze,46,6,stable,3,4.4,41.3,19,5,0,0.0145,0
partner_91,EMEA,Retail,Bronze,15,7,stable,1,1.2,94.1,29,4,0,0.0007,0
partner_92,LATAM,Manufacturing,Gold,59,10,improving,0,3.4,89.5,13,4,0,0.0002,0
partner_93,NA,Retail,Silver,13,7,declining,1,3.4,70.1,15,1,0,0.0013,0
partner_94,NA,Retail,Bronze,29,8,stable,0,3.5,56.5,48,6,0,0.0185,0
partner_95,NA,Manufacturing,Gold,21,4,stable,3,5.5,54.8,64,1,1,0.4575,0
partner_96,LATAM,Tech,Bronze,40,9,declining,0,2.6,88.0,53,7,0,0.0011,0
partner_97,NA,Retail,Bronze,42,8,declining,1,3.5,52.5,49,1,0,0.003,0
partner_98,EMEA,Services,Bronze,56,6,stable,1,3.9,55.1,40,2,0,0.1029,0
partner_99,EMEA,Services,Bronze,48,9,stable,0,3.2,90.2,28,1,1,0.005,0
partner_100,APAC,Retail,Bronze,17,9,improving,0,0.5,100.0,0,4,0,0.0,0
partner_101,APAC,Retail,Silver,14,6,stable,4,2.8,28.9,92,0,1,0.1012,0
partner_102,LATAM,Tech,Bronze,54,7,stable,4,4.5,58.9,38,3,0,0.0212,0
partner_103,EMEA,Services,Silver,31,5,improving,4,3.3,46.9,34,0,1,0.1406,0
partner_104,APAC,Services,Gold,8,8,declining,4,0.5,73.7,19,5,1,0.0045,0
partner_105,LATAM,Retail,Silver,50,10,stable,0,1.4,64.1,22,2,0,0.0016,0
partner_106,LATAM,Services,Silver,40,8,improving,1,4.1,85.4,0,6,0,0.0002,0
partner_107,NA,Retail,Silver,4,6,declining,5,3.7,20.9,39,0,1,0.2813,0
partner_108,EMEA,Tech,Gold,48,6,declining,8,3.4,27.3,30,1,0,0.118,0
partner_109,EMEA,Services,Bronze,38,4,improving,3,2.6,22.8,42,0,1,0.5894,0
partner_110,APAC,Retail,Bronze,38,5,stable,3,2.9,48.2,60,2,1,0.054,0
partner_111,NA,Retail,Silver,53,8,improving,1,0.6,50.0,22,5,0,0.0012,0
partner_112,EMEA,Tech,Silver,31,3,declining,2,5.1,27.9,39,0,0,0.237,1
partner_113,NA,Manufacturing,Bronze,29,4,stable,4,4.9,46.6,57,0,0,0.312,0
partner_114,NA,Services,Silver,38,6,stable,3,2.4,76.8,26,2,0,0.005,0
partner_115,EMEA,Services,Bronze,14,5,stable,4,3.5,0.5,57,0,0,0.423,1
partner_116,APAC,Retail,Gold,11,4,improving,5,6.2,40.6,15,0,1,0.3051,0
partner_117,LATAM,Retail,Bronze,51,6,stable,2,2.6,71.6,20,2,0,0.0046,0
partner_118,LATAM,Services,Bronze,15,9,declining,1,1.5,75.4,0,3,0,0.0003,0
partner_119,NA,Retail,Bronze,32,7,declining,7,3.8,50.5,32,2,0,0.0122,0
partner_120,LATAM,Services,Bronze,18,3,stable,1,4.5,46.2,42,0,0,0.0632,0
partner_121,NA,Manufacturing,Bronze,16,7,improving,1,3.6,49.8,10,6,1,0.0537,0
partner_122,LATAM,Retail,Bronze,37,5,declining,8,6.5,34.8,78,0,0,0.6998,1
partner_123,EMEA,Services,Bronze,49,8,stable,0,4.2,71.4,67,6,0,0.0076,0
partner_124,NA,Retail,Bronze,28,5,stable,2,7.7,48.8,64,0,0,0.1634,0
partner_125,EMEA,Tech,Bronze,11,5,improving,4,1.2,44.9,32,0,1,0.1024,0
partner_126,NA,Manufacturing,Bronze,17,7,improving,5,3.8,55.2,43,2,1,0.0525,0
partner_127,NA,Tech,Bronze,12,5,stable,6,2.5,41.4,35,3,0,0.0455,0
partner_128,EMEA,Manufacturing,Bronze,54,6,declining,8,7.1,55.7,36,0,0,0.1209,0
partner_129,EMEA,Manufacturing,Bronze,21,7,stable,9,4.4,24.1,75,2,0,0.3951,0
partner_130,NA,Services,Bronze,24,6,improving,3,0.5,44.1,78,1,0,0.1625,0
partner_131,EMEA,Services,Bronze,7,7,stable,0,2.8,86.1,0,6,0,0.0015,0
partner_132,APAC,Tech,Silver,28,8,stable,3,4.2,54.6,73,2,1,0.0832,0
partner_133,NA,Retail,Gold,56,4,declining,6,6.2,23.6,52,0,0,0.5354,0
partner_134,NA,Manufacturing,Gold,26,8,stable,4,2.2,31.8,32,1,1,0.0689,0
partner_135,NA,Services,Silver,40,4,stable,3,4.7,44.1,55,3,0,0.1825,1
partner_136,EMEA,Tech,Silver,13,1,declining,8,5.8,5.3,111,0,0,0.9913,1
partner_137,APAC,Tech,Bronze,11,4,stable,4,4.4,34.0,73,0,1,0.6848,0
partner_138,NA,Tech,Silver,45,9,declining,1,3.2,59.5,35,2,0,0.0034,0
partner_139,LATAM,Retail,Silver,6,4,declining,7,4.3,20.0,65,1,1,0.7436,1
partner_140,EMEA,Manufacturing,Silver,29,5,stable,5,6.0,20.8,73,1,1,0.5059,0
partner_141,NA,Tech,Gold,21,5,declining,2,3.5,49.3,49,3,0,0.1735,0
partner_142,NA,Services,Bronze,3,7,improving,2,3.5,70.4,46,1,0,0.0004,0
partner_143,APAC,Services,Silver,33,4,declining,5,3.3,14.0,51,0,1,0.7481,1
partner_144,NA,Services,Silver,58,9,improving,2,4.7,57.1,0,6,0,0.0002,0
partner_145,NA,Tech,Bronze,7,5,improving,4,1.8,74.2,69,0,0,0.0038,0
partner_146,EMEA,Tech,Gold,50,7,declining,5,5.8,58.0,32,0,1,0.5554,0
partner_147,NA,Manufacturing,Bronze,34,6,declining,2,4.4,51.9,36,4,1,0.0746,0
partner_148,NA,Services,Gold,44,6,stable,6,5.2,27.7,56,0,1,0.1899,0
partner_149,NA,Tech,Silver,8,4,declining,10,6.8,13.7,61,0,1,0.8621,1
partner_150,EMEA,Services,Bronze,53,6,declining,4,1.1,51.3,37,0,0,0.1465,0
partner_151,APAC,Retail,Silver,3,7,stable,5,3.6,35.5,64,0,0,0.0624,0
partner_152,APAC,Services,Bronze,55,3,declining,7,6.3,43.4,74,0,0,0.8172,1
partner_153,EMEA,Retail,Silver,41,8,improving,2,5.7,80.4,41,3,0,0.0018,0
partner_154,NA,Retail,Silver,22,7,stable,0,2.5,76.3,35,4,0,0.0027,0
partner_155,EMEA,Tech,Silver,3,5,stable,5,0.9,31.5,47,2,1,0.2639,1
partner_156,LATAM,Retail,Gold,38,9,improving,2,2.3,59.9,20,6,1,0.0033,0
partner_157,EMEA,Retail,Bronze,8,10,improving,0,2.0,51.3,41,3,0,0.0009,0
partner_158,LATAM,Retail,Bronze,38,1,stable,7,8.2,9.1,74,0,1,0.9872,1
partner_159,LATAM,Tech,Bronze,47,5,stable,3,3.8,50.6,32,1,0,0.1633,1
partner_160,LATAM,Services,Bronze,18,9,declining,0,0.5,59.5,33,3,1,0.0049,0
partner_161,EMEA,Retail,Bronze,16,8,improving,1,3.1,100.0,12,8,1,0.001,0
partner_162,APAC,Manufacturing,Bronze,15,4,stable,5,5.4,48.2,45,0,0,0.3087,0
partner_163,EMEA,Services,Bronze,16,6,stable,3,3.4,27.9,44,0,0,0.0643,0
partner_164,EMEA,Retail,Bronze,9,10,improving,0,2.3,100.0,28,5,0,0.0001,0
partner_165,NA,Retail,Gold,17,10,improving,0,1.4,67.5,31,7,1,0.0007,0
partner_166,NA,Services,Bronze,41,7,improving,2,2.2,79.5,32,1,0,0.0038,0
partner_167,APAC,Services,Gold,20,10,improving,1,1.1,79.9,0,4,0,0.0,0
partner_168,APAC,Tech,Bronze,48,6,declining,3,3.1,47.8,45,2,1,0.0886,0
partner_169,NA,Services,Bronze,50,3,declining,4,6.6,23.3,62,0,0,0.7916,1
partner_170,APAC,Retail,Silver,47,5,stable,4,0.7,78.5,19,1,0,0.0049,0
partner_171,EMEA,Tech,Bronze,34,4,stable,3,5.3,66.7,29,3,0,0.0603,0
partner_172,NA,Manufacturing,Bronze,21,7,improving,1,2.2,76.8,30,5,0,0.0083,0
partner_173,EMEA,Retail,Silver,56,7,stable,2,2.8,25.6,63,2,1,0.1716,0
partner_174,APAC,Services,Bronze,14,3,stable,5,5.1,35.6,42,0,1,0.1957,1
partner_175,EMEA,Tech,Bronze,29,5,improving,6,2.0,39.0,18,1,0,0.0428,0
partner_176,EMEA,Services,Silver,29,6,improving,4,1.2,60.9,56,3,0,0.0381,0
partner_177,NA,Tech,Bronze,46,6,stable,3,2.8,35.6,40,2,0,0.0278,0
partner_178,APAC,Tech,Silver,34,7,improving,2,0.8,44.2,52,2,0,0.0108,0
partner_179,APAC,Retail,Bronze,49,4,declining,1,2.9,23.8,53,0,0,0.8884,1
partner_180,LATAM,Retail,Gold,56,5,stable,3,1.9,57.5,64,1,1,0.0631,0
partner_181,APAC,Services,Silver,25,8,improving,1,4.3,44.5,0,5,0,0.0009,0
partner_182,APAC,Retail,Gold,53,6,improving,3,2.3,55.4,61,1,0,0.0078,0
partner_183,NA,Retail,Silver,12,5,stable,4,4.5,44.6,13,1,0,0.0529,0
partner_184,NA,Retail,Bronze,56,7,stable,6,4.7,61.0,51,2,0,0.0581,0
partner_185,LATAM,Retail,Silver,13,9,improving,3,3.8,63.5,24,3,0,0.0028,0
partner_186,LATAM,Services,Bronze,52,8,improving,0,2.6,69.4,41,1,1,0.0071,0
partner_187,NA,Tech,Silver,25,6,declining,7,3.4,43.5,49,2,0,0.0778,0
partner_188,EMEA,Services,Silver,58,6,stable,3,3.9,46.6,7,3,0,0.0151,0
partner_189,LATAM,Retail,Bronze,10,3,stable,9,8.3,31.4,91,0,1,0.9871,1
partner_190,EMEA,Manufacturing,Gold,29,1,stable,4,5.7,56.4,71,1,1,0.6314,1
partner_191,APAC,Tech,Bronze,55,10,improving,1,3.3,51.1,36,7,0,0.0022,0
partner_192,EMEA,Tech,Silver,5,8,improving,5,5.8,79.7,6,4,0,0.0058,0
partner_193,EMEA,Services,Silver,18,6,stable,6,4.8,39.0,58,0,0,0.6479,1
partner_194,APAC,Services,Bronze,7,5,declining,3,6.5,32.9,32,0,1,0.8487,1
partner_195,EMEA,Services,Silver,21,6,declining,5,5.3,16.6,58,1,1,0.6586,1
partner_196,EMEA,Retail,Silver,25,8,stable,0,3.4,40.6,9,3,0,0.0021,0
partner_197,NA,Retail,Bronze,38,9,improving,2,1.4,70.2,130,5,1,0.1418,0
partner_198,APAC,Manufacturing,Silver,17,6,improving,4,1.7,37.5,50,0,0,0.0378,0
partner_199,EMEA,Retail,Bronze,12,8,improving,0,0.9,97.4,39,6,0,0.0003,0
partner_200,NA,Manufacturing,Silver,12,10,stable,0,2.6,72.8,1,9,0,0.0002,0
partner_201,LATAM,Manufacturing,Bronze,57,2,declining,7,5.9,45.7,65,0,1,0.714,1
partner_202,APAC,Manufacturing,Gold,58,4,improving,7,6.8,27.6,76,0,1,0.6434,1
partner_203,NA,Services,Gold,15,9,stable,0,0.9,84.9,0,5,0,0.0,0
partner_204,EMEA,Manufacturing,Bronze,14,5,declining,6,4.8,34.6,33,0,0,0.1403,0
partner_205,EMEA,Retail,Bronze,6,5,stable,6,5.4,45.1,75,0,1,0.4484,1
partner_206,EMEA,Retail,Silver,58,10,improving,0,0.9,100.0,0,4,0,0.0,0
partner_207,EMEA,Manufacturing,Silver,43,5,declining,4,3.9,37.7,37,1,1,0.3735,1
partner_208,LATAM,Tech,Bronze,47,5,declining,5,2.7,43.2,48,0,1,0.6688,1
partner_209,EMEA,Retail,Bronze,19,3,declining,7,4.8,32.0,38,0,1,0.601,1
partner_210,NA,Tech,Bronze,40,10,stable,3,2.6,45.9,0,4,0,0.0007,0
partner_211,LATAM,Services,Gold,6,10,declining,0,3.3,88.6,0,6,0,0.0007,0
partner_212,NA,Services,Bronze,42,6,stable,6,5.3,50.7,40,4,1,0.2673,1
partner_213,EMEA,Manufacturing,Gold,36,8,stable,4,3.2,23.7,45,1,0,0.1068,0
partner_214,APAC,Tech,Bronze,22,8,stable,2,6.7,47.6,91,2,1,0.088,0
partner_215,LATAM,Retail,Gold,44,8,improving,0,2.4,51.1,17,4,0,0.0011,0
partner_216,LATAM,Tech,Bronze,40,5,declining,2,4.7,42.0,8,2,0,0.0292,1
partner_217,EMEA,Tech,Bronze,28,5,stable,4,3.5,49.6,41,2,0,0.0268,0
partner_218,EMEA,Manufacturing,Gold,13,9,improving,0,0.5,79.8,28,5,0,0.0001,0
partner_219,APAC,Manufacturing,Gold,4,8,declining,1,1.9,57.3,45,7,0,0.0084,0
partner_220,NA,Retail,Bronze,57,2,stable,5,7.4,38.2,83,0,1,0.8516,1
partner_221,NA,Retail,Bronze,19,5,declining,6,3.8,42.7,62,1,0,0.2815,0
partner_222,NA,Retail,Bronze,20,10,improving,0,0.5,85.7,4,6,0,0.0,0
partner_223,LATAM,Services,Bronze,42,4,stable,10,5.2,30.8,79,0,0,0.8005,1
partner_224,APAC,Manufacturing,Bronze,17,6,declining,2,3.6,63.3,26,0,0,0.0155,0
partner_225,EMEA,Retail,Gold,24,6,improving,4,5.7,16.4,6,2,0,0.0373,0
partner_226,APAC,Services,Bronze,44,10,stable,0,3.9,100.0,45,8,0,0.0001,0
partner_227,EMEA,Tech,Silver,37,10,stable,0,2.1,66.6,18,4,0,0.0005,0
partner_228,NA,Tech,Bronze,41,8,stable,1,3.8,50.6,43,2,0,0.0241,0
partner_229,LATAM,Services,Bronze,3,4,stable,3,5.8,36.8,0,0,0,0.1372,0
partner_230,EMEA,Retail,Silver,29,9,improving,0,1.9,68.0,44,5,0,0.0268,0
partner_231,EMEA,Retail,Bronze,30,5,stable,2,2.1,40.2,62,1,1,0.1211,0
partner_232,NA,Manufacturing,Silver,39,8,improving,0,2.2,77.5,0,0,0,0.0006,0
partner_233,APAC,Retail,Bronze,11,6,improving,3,4.9,45.9,45,0,1,0.2387,1
partner_234,NA,Manufacturing,Gold,12,5,declining,9,5.4,7.0,64,0,0,0.4377,1
partner_235,APAC,Retail,Silver,47,8,improving,1,0.5,79.9,0,4,0,0.0015,0
partner_236,APAC,Retail,Gold,42,10,stable,0,1.5,83.8,28,7,0,0.0,0
partner_237,NA,Retail,Bronze,50,8,improving,1,2.0,38.9,54,2,0,0.0436,0
partner_238,LATAM,Tech,Bronze,18,4,declining,2,5.7,44.7,59,2,0,0.3514,0
partner_239,EMEA,Retail,Bronze,60,8,stable,0,1.1,85.0,0,3,0,0.0002,0
partner_240,EMEA,Retail,Silver,18,4,declining,3,4.2,10.1,40,0,1,0.8862,1
partner_241,APAC,Services,Bronze,40,7,stable,1,1.6,76.3,20,0,0,0.0018,0
partner_242,LATAM,Tech,Bronze,12,8,improving,1,3.8,58.6,21,4,0,0.0016,0
partner_243,EMEA,Tech,Bronze,56,4,declining,10,6.8,35.2,63,0,1,0.8962,1
partner_244,NA,Retail,Bronze,22,6,stable,6,4.6,35.6,40,1,1,0.0745,0
partner_245,LATAM,Tech,Bronze,49,7,improving,3,5.0,73.6,0,3,0,0.0217,0
partner_246,APAC,Retail,Bronze,22,7,improving,1,4.2,69.4,38,1,0,0.01,0
partner_247,LATAM,Manufacturing,Bronze,48,8,stable,0,0.5,51.6,46,3,0,0.0045,0
partner_248,NA,Retail,Silver,29,5,improving,3,5.6,25.6,68,0,1,0.8452,0
partner_249,NA,Services,Bronze,6,5,declining,2,3.5,59.9,56,1,1,0.1387,0
partner_250,NA,Services,Bronze,14,6,stable,1,1.2,50.7,27,3,1,0.008,0
partner_251,LATAM,Retail,Silver,42,7,declining,4,3.5,63.7,35,0,0,0.0235,0
partner_252,APAC,Retail,Silver,14,8,declining,4,5.1,51.1,26,1,0,0.034,0
partner_253,NA,Retail,Bronze,18,7,stable,1,5.8,31.8,73,3,1,0.259,0
partner_254,EMEA,Manufacturing,Silver,34,6,stable,2,1.2,59.3,35,2,0,0.0202,0
partner_255,EMEA,Retail,Gold,17,10,stable,0,2.2,88.5,0,8,0,0.0002,0
partner_256,LATAM,Services,Silver,10,7,stable,7,6.8,28.8,44,0,1,0.729,1
partner_257,APAC,Services,Gold,39,7,improving,2,5.7,63.9,0,2,0,0.0021,0
partner_258,EMEA,Services,Silver,42,7,declining,0,0.5,54.1,54,1,0,0.0148,0
partner_259,EMEA,Tech,Bronze,45,4,declining,4,7.7,57.5,57,1,1,0.8849,1
partner_260,NA,Services,Bronze,57,8,stable,0,3.6,91.0,9,2,0,0.0008,0
partner_261,EMEA,Retail,Silver,10,8,improving,4,0.5,96.6,15,1,0,0.001,0
partner_262,APAC,Tech,Gold,27,5,declining,6,3.3,41.5,64,0,0,0.4087,0
partner_263,NA,Tech,Bronze,16,5,stable,3,6.8,41.7,59,0,0,0.4537,1
partner_264,EMEA,Services,Bronze,55,8,stable,4,3.8,50.0,0,2,0,0.0033,0
partner_265,APAC,Manufacturing,Silver,34,6,improving,1,1.8,96.6,50,1,0,0.0043,0
partner_266,EMEA,Services,Bronze,8,6,stable,4,3.7,40.9,21,3,0,0.0794,0
partner_267,EMEA,Retail,Silver,43,10,stable,0,3.2,99.3,0,4,0,0.0,0
partner_268,EMEA,Services,Silver,5,5,declining,1,3.1,73.4,74,2,0,0.0538,0
partner_269,EMEA,Tech,Silver,18,10,improving,0,0.8,81.2,23,6,0,0.0003,0
partner_270,EMEA,Tech,Gold,44,3,stable,2,5.2,64.9,37,2,0,0.062,0
partner_271,EMEA,Services,Silver,32,8,improving,1,1.5,75.8,1,4,0,0.0002,0
partner_272,EMEA,Tech,Silver,47,10,declining,0,0.5,75.9,0,5,0,0.0,0
partner_273,EMEA,Tech,Silver,36,6,improving,2,3.4,39.5,44,1,0,0.1823,0
partner_274,NA,Manufacturing,Silver,51,6,improving,4,2.0,61.8,61,3,0,0.2162,0
partner_275,LATAM,Retail,Gold,35,10,stable,1,0.5,94.6,31,3,0,0.0,0
partner_276,NA,Tech,Bronze,6,4,declining,10,2.8,48.7,72,0,1,0.8929,1
partner_277,NA,Retail,Silver,7,4,stable,4,5.1,44.1,72,0,1,0.4066,1
partner_278,NA,Retail,Bronze,48,4,declining,4,5.4,34.2,45,3,1,0.3904,0
partner_279,APAC,Services,Gold,5,7,stable,1,1.7,74.2,14,2,0,0.0028,0
partner_280,APAC,Manufacturing,Silver,24,7,improving,0,1.9,38.4,0,7,1,0.0032,0
partner_281,EMEA,Tech,Bronze,3,3,stable,4,4.1,36.7,58,0,1,0.7441,1
partner_282,EMEA,Tech,Bronze,20,8,stable,3,1.5,60.3,48,3,0,0.0047,0
partner_283,EMEA,Tech,Bronze,37,7,improving,1,4.9,65.3,29,2,0,0.0011,0
partner_284,EMEA,Manufacturing,Silver,13,7,declining,6,2.6,75.7,69,3,0,0.0303,0
partner_285,NA,Services,Bronze,30,3,declining,7,4.7,28.9,61,0,1,0.9464,1
partner_286,NA,Services,Bronze,60,8,declining,1,2.1,53.9,37,3,0,0.0033,0
partner_287,EMEA,Tech,Gold,7,6,improving,5,5.8,33.1,47,0,0,0.0669,0
