partner_id,region,vertical,partner_tier,months_as_partner,nps_score,nps_trend,support_tickets_last_quarter,avg_resolution_time_days,engagement_score,days_since_last_contact,num_active_deals,has_competitor_relationship,churn_probability,churned_next_quarter,avg_monthly_gtv,gtv_trend_3m,gtv_trend_yoy_3m,gtv_volatility,seasonal_autocorr_lag12,has_seasonality,gtv_vs_peers,gtv_vs_market_growth,gtv_seasonal_deviation_pct,gtv_ramp_vs_cohort,scoring_path,snapshot_role,snapshot_cutoff_month
partner_87,LATAM,Services,Registered,22,6,improving,2,1.1,73.5,0,3,0,0.0043,0,14175.28,-7.83,-33.4,0.3016,-0.4111,0,0.9048,-8.96,0.0,0.0,mature,train,26
partner_88,NA,Services,Registered,22,6,improving,1,2.9,63.7,75,1,0,0.1052,0,7609.86,-11.16,-36.15,0.3543,-0.4852,0,0.3864,-12.29,0.0,0.0,mature,train,26
partner_89,EMEA,Tech,Certified,19,6,improving,5,5.5,19.9,65,0,0,0.1631,0,38979.89,-8.37,-11.81,0.1159,-0.3,0,0.6774,-11.35,0.0,0.0,mature,train,26
partner_90,NA,Tech,Registered,40,2,declining,7,4.9,27.5,77,0,1,0.9905,1,11322.83,31.6,88.6,0.3928,-0.0685,0,0.6923,28.62,0.0,0.0,mature,train,26
partner_91,EMEA,Retail,Registered,9,7,improving,2,3.4,59.1,38,2,0,0.0133,0,6986.99,-41.61,-10.88,0.2221,0.9088,1,0.3488,-44.05,-4.42,0.0,mature,train,26
partner_92,LATAM,Manufacturing,Strategic,53,9,stable,0,1.7,72.8,32,6,0,0.0025,0,40777.07,-15.21,-39.45,0.3806,-0.3699,0,0.25,-17.39,0.0,0.0,mature,train,26
partner_93,NA,Retail,Certified,7,4,stable,2,4.6,36.9,59,0,1,0.6824,1,16439.05,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-58.33,new_partner,train,26
partner_94,NA,Retail,Registered,23,7,improving,2,2.8,90.3,24,2,0,0.0011,0,8181.25,13.08,59.83,0.34,-0.0911,0,0.5319,10.64,0.0,0.0,mature,train,26
partner_95,NA,Manufacturing,Strategic,15,4,declining,4,3.5,27.3,41,1,1,0.32,1,137421.6,14.43,83.85,0.332,-0.2694,0,1.0,12.25,0.0,0.0,mature,train,26
partner_96,LATAM,Tech,Registered,34,5,declining,7,5.9,23.8,58,0,1,0.8015,1,10447.85,-10.64,-3.28,0.1795,0.6752,1,0.7097,-13.62,-7.36,0.0,mature,train,26
partner_97,NA,Retail,Registered,36,7,improving,1,4.7,55.5,9,1,1,0.0417,1,11415.92,4.13,20.51,0.2513,0.8934,1,0.8085,1.69,13.83,0.0,mature,train,26
partner_98,EMEA,Services,Registered,50,8,stable,0,0.5,73.8,0,6,0,0.0003,0,16081.49,28.0,17.63,0.2583,0.8479,1,0.881,26.87,12.21,0.0,mature,train,26
partner_99,EMEA,Services,Registered,42,6,improving,5,3.9,57.8,46,2,0,0.073,0,23076.31,42.15,8.61,0.2049,0.8943,1,1.0,41.02,1.95,0.0,mature,train,26
partner_100,APAC,Retail,Registered,11,5,stable,3,3.2,20.8,86,0,0,0.6846,1,5808.1,1.75,1.1,0.085,0.0022,0,0.2903,-0.69,0.0,0.0,mature,train,26
partner_101,APAC,Retail,Certified,8,10,improving,0,0.5,97.6,0,0,0,0.0,0,27105.84,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-44.08,new_partner,train,26
partner_102,LATAM,Tech,Registered,48,8,stable,5,4.7,60.5,21,2,0,0.0155,0,12361.27,42.64,84.74,0.369,-0.4654,0,0.8387,39.66,0.0,0.0,mature,train,26
partner_103,EMEA,Services,Certified,25,7,improving,3,6.8,49.6,10,6,1,0.0657,0,19883.65,-14.85,-36.85,0.3174,-0.4232,0,0.2941,-15.98,0.0,0.0,mature,train,26
partner_104,APAC,Services,Strategic,2,7,improving,2,3.0,35.3,13,3,0,0.0267,0,121768.64,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,73.68,new_partner,train,26
partner_105,LATAM,Retail,Certified,44,4,declining,4,7.5,63.8,32,0,0,0.1372,1,30952.28,19.46,5.32,0.2297,0.7622,1,0.6071,17.02,2.58,0.0,mature,train,26
partner_106,LATAM,Services,Certified,34,6,declining,4,2.4,56.7,57,3,1,0.1075,0,67521.41,7.97,20.79,0.2383,0.5293,1,0.9524,6.84,-3.4,0.0,mature,train,26
partner_107,NA,Retail,Certified,1,5,improving,4,2.7,86.4,0,3,0,0.0163,0,29138.46,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,19.99,new_partner,train,26
partner_108,EMEA,Tech,Strategic,42,7,declining,2,6.7,35.6,59,2,0,0.0813,0,77336.21,7.99,12.98,0.1393,0.0155,0,0.6,5.01,0.0,0.0,mature,train,26
partner_109,EMEA,Services,Registered,32,7,stable,1,1.5,77.5,24,6,0,0.0013,0,12508.46,13.0,40.16,0.1784,-0.3886,0,0.7381,11.87,0.0,0.0,mature,train,26
partner_110,APAC,Retail,Registered,32,7,declining,1,3.3,69.6,29,3,0,0.0071,0,4097.35,5.01,-16.67,0.1573,-0.1126,0,0.129,2.57,0.0,0.0,mature,train,26
partner_111,NA,Retail,Certified,47,8,stable,1,2.9,83.7,61,2,0,0.0065,0,25181.86,-1.79,2.53,0.218,0.8152,1,0.3214,-4.23,-6.13,0.0,mature,train,26
partner_112,EMEA,Tech,Certified,25,6,stable,3,2.6,68.4,42,2,1,0.0412,0,18176.22,-14.82,-41.61,0.3629,-0.2168,0,0.2581,-17.8,0.0,0.0,mature,train,26
partner_113,NA,Manufacturing,Registered,23,6,declining,4,3.6,55.1,75,1,0,0.0152,0,6440.8,2.29,-4.61,0.1147,-0.1758,0,0.2121,0.11,0.0,0.0,mature,train,26
partner_114,NA,Services,Certified,32,5,stable,3,0.7,36.9,78,2,0,0.2572,0,66370.3,-7.08,-1.02,0.2144,0.8433,1,0.9,-8.21,-2.73,0.0,mature,train,26
partner_115,EMEA,Services,Registered,8,3,stable,2,7.2,56.9,93,0,1,0.7682,1,9798.36,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,32.86,new_partner,train,26
partner_116,APAC,Retail,Strategic,5,6,stable,5,4.6,74.7,37,1,1,0.053,0,160645.77,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,300.0,new_partner,train,26
partner_117,LATAM,Retail,Registered,45,6,declining,6,4.1,36.9,13,0,1,0.2561,0,6056.55,4.55,-35.62,0.3503,-0.3516,0,0.36,2.11,0.0,0.0,mature,train,26
partner_118,LATAM,Services,Registered,9,6,stable,1,2.4,58.3,36,4,0,0.0043,0,9825.84,9.89,45.06,0.196,-0.2594,0,0.5714,8.76,0.0,0.0,mature,train,26
partner_119,NA,Retail,Registered,26,6,declining,13,5.1,51.3,61,1,1,0.2505,0,5171.53,-4.3,-25.08,0.1983,-0.1185,0,0.1702,-6.74,0.0,0.0,mature,train,26
partner_120,LATAM,Services,Registered,12,7,stable,5,5.0,23.4,2,1,0,0.0026,0,6497.76,6.63,7.65,0.2475,0.862,1,0.2857,5.5,3.52,0.0,mature,train,26
partner_121,NA,Manufacturing,Registered,10,8,improving,3,2.4,83.2,30,1,0,0.0021,0,16370.94,1.27,-1.76,0.1124,-0.3303,0,1.0,-0.91,0.0,0.0,mature,train,26
partner_122,LATAM,Retail,Registered,31,4,stable,2,5.7,59.5,0,1,0,0.0285,0,7441.86,-5.83,-27.96,0.2642,0.0685,0,0.6,-8.27,0.0,0.0,mature,train,26
partner_123,EMEA,Services,Registered,43,3,declining,2,4.9,32.2,85,0,1,0.7624,1,5134.79,-15.45,-35.17,0.2656,0.1547,0,0.2381,-16.58,0.0,0.0,mature,train,26
partner_124,NA,Retail,Registered,22,7,declining,0,3.8,15.6,56,0,0,0.0802,0,8367.28,24.12,6.59,0.2309,0.8303,1,0.5532,21.68,2.79,0.0,mature,train,26
partner_125,EMEA,Tech,Registered,5,5,improving,4,4.2,69.4,14,1,0,0.051,0,14083.61,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-16.13,new_partner,train,26
partner_126,NA,Manufacturing,Registered,11,7,improving,1,2.1,48.0,32,7,0,0.0079,0,8019.9,0.2,-3.91,0.1028,-0.3548,0,0.4545,-1.98,0.0,0.0,mature,train,26
partner_127,NA,Tech,Registered,6,8,improving,0,0.7,44.6,31,2,0,0.0059,0,19671.7,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,32.64,new_partner,train,26
partner_128,EMEA,Manufacturing,Registered,48,6,improving,5,3.1,65.0,45,2,1,0.1943,0,13130.15,-2.36,-9.71,0.1119,-0.2341,0,0.8846,-4.54,0.0,0.0,mature,train,26
partner_129,EMEA,Manufacturing,Registered,15,3,declining,7,5.4,46.7,69,0,1,0.9946,1,9844.28,-4.02,-9.79,0.1175,0.144,0,0.7308,-6.2,0.0,0.0,mature,train,26
partner_130,NA,Services,Registered,18,5,stable,4,4.5,31.3,79,0,1,0.51,0,9365.81,-7.48,17.27,0.1861,-0.0575,0,0.5682,-8.61,0.0,0.0,mature,train,26
partner_131,EMEA,Services,Registered,1,6,declining,3,5.3,72.4,15,1,1,0.0076,0,16334.03,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,130.72,new_partner,train,26
partner_132,APAC,Tech,Certified,22,5,declining,4,5.5,45.9,56,0,1,0.6662,1,18700.56,-3.34,-15.15,0.133,0.5297,1,0.125,-6.32,-17.4,0.0,mature,train,26
partner_133,NA,Retail,Strategic,50,4,stable,4,5.1,7.7,102,0,1,0.8747,1,47006.19,-17.16,-5.41,0.1127,0.3085,0,0.4545,-19.6,0.0,0.0,mature,train,26
partner_134,NA,Manufacturing,Strategic,20,7,stable,2,2.9,55.9,23,0,0,0.0037,0,60051.07,-15.51,-35.65,0.3178,-0.3274,0,0.3636,-17.69,0.0,0.0,mature,train,26
partner_135,NA,Services,Certified,34,5,stable,2,3.8,69.0,47,3,1,0.0464,0,19601.36,8.62,-3.78,0.1032,0.0998,0,0.35,7.49,0.0,0.0,mature,train,26
partner_136,EMEA,Tech,Certified,7,6,declining,5,4.2,47.3,19,5,0,0.1153,0,42133.74,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,86.79,new_partner,train,26
partner_137,APAC,Tech,Registered,5,10,declining,2,3.1,73.8,76,2,1,0.0275,0,7237.35,1.28,1.75,0.2045,0.0045,0,0.52,-0.83,0.0,-58.03,new_partner,train,26
