partner_id,region,vertical,partner_tier,months_as_partner,nps_score,nps_trend,support_tickets_last_quarter,avg_resolution_time_days,engagement_score,days_since_last_contact,num_active_deals,has_competitor_relationship,churn_probability,churned_next_quarter,avg_monthly_gtv,gtv_trend_3m,gtv_volatility,seasonal_autocorr_lag12,has_seasonality,gtv_vs_peers,gtv_vs_market_growth
partner_37,EMEA,Tech,Gold,36,7,improving,0,4.7,49.6,38,2,0,0.0111,0,63287.6,-5.04,0.1866,-0.2778,0,0.4,-8.61
partner_38,NA,Tech,Bronze,21,7,stable,3,3.8,62.4,22,1,1,0.0164,0,7667.25,-12.38,0.0829,0.0619,0,0.359,-15.95
partner_39,EMEA,Tech,Silver,28,7,stable,4,4.8,48.5,26,3,1,0.0143,0,11656.09,11.62,0.153,0.0511,0,0.0645,8.05
partner_40,LATAM,Retail,Silver,16,7,declining,2,4.1,49.6,21,3,0,0.0105,0,25002.2,2.24,0.1693,-0.1186,0,0.3571,-0.03
partner_41,NA,Retail,Bronze,26,3,stable,7,5.2,13.8,99,0,0,0.9024,1,5692.89,-8.16,0.213,0.7493,1,0.1915,-10.43
partner_42,APAC,Manufacturing,Silver,25,4,declining,7,3.5,39.6,58,0,0,0.1945,1,29388.44,-13.26,0.1785,-0.2572,0,0.5385,-13.84
partner_43,LATAM,Manufacturing,Silver,23,5,declining,6,3.0,43.7,67,1,0,0.1236,0,29280.01,11.26,0.2202,0.6473,1,0.5556,10.68
partner_44,NA,Manufacturing,Gold,46,6,stable,4,2.0,38.3,57,0,1,0.0723,0,139880.75,6.94,0.2948,-0.4322,0,0.9091,6.36
partner_45,APAC,Retail,Gold,37,8,improving,1,4.0,62.2,2,3,0,0.0018,0,35084.7,-3.55,0.2693,-0.3891,0,0.1429,-5.82
partner_46,APAC,Tech,Bronze,30,7,improving,3,2.7,57.4,37,1,1,0.0302,0,5512.13,2.72,0.1609,0.0209,0,0.2308,-0.85
partner_47,NA,Retail,Bronze,9,8,improving,1,0.5,69.4,0,11,0,0.0009,0,4038.17,10.39,0.1074,0.2084,0,0.0426,8.12
partner_48,EMEA,Services,Silver,36,6,stable,2,4.9,46.6,56,2,0,0.0713,0,23081.25,21.76,0.2114,0.5603,1,0.2647,19.45
partner_49,LATAM,Services,Bronze,13,6,declining,8,3.8,53.3,27,4,0,0.0487,0,14023.66,31.38,0.3272,-0.5174,0,0.8571,29.07
partner_50,EMEA,Retail,Bronze,21,10,stable,1,2.8,100.0,0,6,0,0.0001,0,12522.49,14.07,0.158,0.5887,1,0.7907,11.8
partner_51,EMEA,Manufacturing,Gold,27,7,stable,3,3.9,40.3,68,2,0,0.1799,0,153377.72,2.8,0.1429,0.7112,1,0.9231,2.22
partner_52,EMEA,Retail,Bronze,11,4,declining,6,3.1,21.7,37,1,0,0.1045,0,5093.78,-7.67,0.0735,0.514,1,0.186,-9.94
partner_53,LATAM,Retail,Bronze,25,8,improving,2,3.5,87.7,24,2,0,0.0015,0,5581.6,-3.15,0.2398,0.3644,0,0.36,-5.42
partner_54,LATAM,Retail,Silver,18,8,stable,1,4.2,74.8,0,0,0,0.0022,0,18326.05,-6.36,0.137,-0.0467,0,0.2143,-8.63
partner_55,LATAM,Retail,Bronze,52,5,improving,3,3.3,72.9,37,4,0,0.031,0,9432.25,-2.01,0.2654,0.3384,0,0.64,-4.28
partner_56,LATAM,Manufacturing,Bronze,52,9,declining,0,5.0,61.7,44,3,0,0.021,0,8329.14,-5.46,0.1086,-0.1011,0,0.3913,-6.04
partner_57,NA,Services,Gold,3,6,improving,6,4.7,47.0,23,3,0,0.0664,0,77115.53,-20.96,0.217,0.0704,0,0.8,-23.27
partner_58,NA,Retail,Bronze,37,5,declining,8,6.0,16.8,76,0,0,0.9527,1,8486.9,14.43,0.2199,0.8092,1,0.617,12.16
partner_59,EMEA,Tech,Bronze,40,7,improving,2,1.2,82.2,29,4,1,0.008,0,17997.02,-0.51,0.1093,0.0861,0,0.875,-4.08
partner_60,EMEA,Manufacturing,Bronze,24,7,improving,2,1.6,80.1,60,2,0,0.0064,0,5553.93,-14.24,0.3619,-0.1377,0,0.2692,-14.82
partner_61,LATAM,Services,Gold,30,9,declining,2,5.0,46.4,20,4,0,0.0117,0,38967.14,0.54,0.1178,-0.1285,0,0.2857,-1.77
partner_62,NA,Manufacturing,Bronze,48,3,stable,6,2.2,0.0,65,0,1,0.928,1,4248.44,-3.44,0.2878,-0.0673,0,0.0303,-4.03
partner_63,NA,Retail,Silver,24,10,improving,1,0.5,97.8,0,8,0,0.0002,0,29440.72,-20.67,0.2615,0.95,1,0.6429,-22.94
partner_64,LATAM,Manufacturing,Bronze,6,5,improving,4,5.1,20.9,58,0,1,0.6002,0,25091.69,0.46,0.3218,-0.2137,0,1.0,-0.13
partner_65,LATAM,Tech,Bronze,24,5,declining,7,3.3,37.0,38,3,0,0.1354,0,11070.42,2.72,0.1885,0.6486,1,0.6452,-0.85
partner_66,NA,Services,Gold,17,5,declining,5,4.2,40.6,70,0,0,0.3036,0,86978.8,1.07,0.117,0.0728,0,0.9,-1.24
partner_67,NA,Tech,Silver,25,9,declining,0,2.4,87.2,1,2,0,0.0004,0,53567.8,57.81,0.2738,0.7942,1,0.8667,54.24
partner_68,NA,Manufacturing,Gold,16,6,improving,2,2.2,49.7,25,3,0,0.0097,0,71883.58,-14.54,0.3077,0.388,0,0.4545,-15.12
partner_69,EMEA,Retail,Bronze,11,7,declining,5,4.6,59.6,23,4,1,0.0644,0,6169.05,27.03,0.2454,0.7422,1,0.3256,24.76
partner_70,NA,Tech,Silver,60,9,stable,1,3.6,64.5,29,3,0,0.0014,0,11610.0,5.42,0.2332,-0.5082,0,0.0333,1.85
partner_71,EMEA,Services,Gold,10,4,improving,5,5.4,0.0,112,1,0,0.9646,0,46745.51,-7.95,0.0673,0.1031,0,0.2222,-10.26
partner_72,NA,Manufacturing,Bronze,43,8,stable,4,2.6,58.1,0,2,1,0.045,0,7575.86,11.06,0.1359,0.2287,0,0.4242,10.48
partner_73,APAC,Tech,Bronze,44,4,declining,7,5.6,14.0,73,0,1,0.9808,1,7259.43,-11.41,0.2364,0.2707,0,0.4231,-14.98
partner_74,EMEA,Services,Gold,38,6,improving,3,6.8,33.8,65,4,1,0.6885,1,44527.46,-5.17,0.2727,-0.1121,0,0.1111,-7.48
partner_75,EMEA,Services,Bronze,55,6,stable,0,2.6,40.9,32,1,0,0.1149,0,6266.07,-20.66,0.3317,-0.0723,0,0.2619,-22.97
partner_76,EMEA,Tech,Silver,3,9,improving,3,5.1,68.3,40,3,1,0.1026,0,27064.49,-4.98,0.2393,-0.1141,0,0.5161,-8.55
partner_77,EMEA,Tech,Gold,20,8,stable,1,0.5,62.5,56,2,0,0.0004,0,99296.4,-3.08,0.0865,-0.0924,0,0.8,-6.65
partner_78,LATAM,Tech,Bronze,13,6,declining,5,2.6,58.4,40,0,0,0.1621,0,10153.83,25.92,0.2767,-0.5543,0,0.5806,22.35
partner_79,NA,Manufacturing,Bronze,36,5,declining,5,3.2,54.5,34,2,0,0.258,1,7255.2,-9.36,0.1242,-0.5002,0,0.3636,-9.94
partner_80,LATAM,Tech,Bronze,39,6,improving,4,4.9,37.6,58,0,0,0.0728,0,5540.39,-7.31,0.2053,-0.0381,0,0.129,-10.88
partner_81,LATAM,Retail,Bronze,55,10,stable,0,1.7,38.8,21,3,0,0.0054,0,6328.62,-25.78,0.2481,0.6228,1,0.48,-28.05
partner_82,NA,Services,Bronze,25,4,stable,2,5.7,53.3,42,0,0,0.127,0,10164.76,-7.15,0.0911,0.2229,0,0.7273,-9.46
partner_83,APAC,Services,Silver,16,1,improving,8,4.9,35.6,81,0,0,0.2988,0,15720.76,-18.21,0.3181,-0.1022,0,0.3529,-20.52
partner_84,EMEA,Services,Bronze,56,6,stable,3,4.4,37.3,73,1,0,0.5052,0,12100.9,-22.89,0.0977,-0.1344,0,0.7857,-25.2
partner_85,EMEA,Services,Silver,42,5,stable,6,3.6,56.4,47,0,0,0.1744,0,17097.49,-1.48,0.2395,0.7415,1,0.1471,-3.79
partner_86,EMEA,Manufacturing,Bronze,47,7,improving,2,6.7,37.1,49,2,1,0.1058,0,7847.64,-3.93,0.0801,-0.0474,0,0.5,-4.52
partner_87,LATAM,Services,Bronze,28,8,declining,3,2.3,42.0,58,3,1,0.0262,0,4779.68,-24.82,0.2944,0.1097,0,0.1429,-27.13
partner_88,NA,Services,Bronze,28,4,stable,4,3.2,33.8,38,1,0,0.0479,0,4969.55,11.17,0.1985,0.0191,0,0.1591,8.86
partner_89,EMEA,Tech,Silver,25,6,improving,1,0.9,82.6,46,4,0,0.0077,0,57182.48,-11.06,0.1028,-0.0669,0,1.0,-14.63
partner_90,NA,Tech,Bronze,46,6,stable,3,4.4,41.3,19,5,0,0.0145,0,28144.13,5.54,0.3636,-0.525,0,1.0,1.97
partner_91,EMEA,Retail,Bronze,15,7,stable,1,1.2,94.1,29,4,0,0.0007,0,8915.46,11.98,0.1885,0.8933,1,0.5814,9.71
partner_92,LATAM,Manufacturing,Gold,59,10,improving,0,3.4,89.5,13,4,0,0.0002,0,40063.64,-18.5,0.2622,-0.4521,0,0.25,-19.08
partner_93,NA,Retail,Silver,13,7,declining,1,3.4,70.1,15,1,0,0.0013,0,40196.27,-32.79,0.2292,0.8108,1,0.8571,-35.06
partner_94,NA,Retail,Bronze,29,8,stable,0,3.5,56.5,48,6,0,0.0185,0,7947.57,7.38,0.1323,0.0954,0,0.4681,5.11
partner_95,NA,Manufacturing,Gold,21,4,stable,3,5.5,54.8,64,1,1,0.4575,0,62721.63,8.83,0.3221,-0.1923,0,0.3636,8.24
partner_96,LATAM,Tech,Bronze,40,9,declining,0,2.6,88.0,53,7,0,0.0011,0,12912.59,-1.4,0.1794,0.8077,1,0.7742,-4.97
partner_97,NA,Retail,Bronze,42,8,declining,1,3.5,52.5,49,1,0,0.003,0,11690.49,0.19,0.2243,0.872,1,0.8085,-2.08
partner_98,EMEA,Services,Bronze,56,6,stable,1,3.9,55.1,40,2,0,0.1029,0,9157.84,-10.45,0.1595,0.5408,1,0.619,-12.76
partner_99,EMEA,Services,Bronze,48,9,stable,0,3.2,90.2,28,1,1,0.005,0,11030.97,22.63,0.2267,0.8083,1,0.6905,20.32
partner_100,APAC,Retail,Bronze,17,9,improving,0,0.5,100.0,0,4,0,0.0,0,9671.46,1.62,0.0904,-0.4356,0,0.5806,-0.65
partner_101,APAC,Retail,Silver,14,6,stable,4,2.8,28.9,92,0,1,0.1012,0,12099.91,-21.3,0.303,-0.1156,0,0.125,-23.57
partner_102,LATAM,Tech,Bronze,54,7,stable,4,4.5,58.9,38,3,0,0.0212,0,15314.53,11.15,0.3281,-0.2375,0,0.871,7.58
partner_103,EMEA,Services,Silver,31,5,improving,4,3.3,46.9,34,0,1,0.1406,0,23977.1,-7.02,0.2199,-0.3306,0,0.2941,-9.33
partner_104,APAC,Services,Gold,8,8,declining,4,0.5,73.7,19,5,1,0.0045,0,47412.2,-5.41,0.1577,0.274,0,0.2727,-7.72
partner_105,LATAM,Retail,Silver,50,10,stable,0,1.4,64.1,22,2,0,0.0016,0,24236.34,12.9,0.2161,0.7493,1,0.2857,10.63
partner_106,LATAM,Services,Silver,40,8,improving,1,4.1,85.4,0,6,0,0.0002,0,53362.54,10.54,0.1906,-0.0921,0,1.0,8.23
partner_107,NA,Retail,Silver,4,6,declining,5,3.7,20.9,39,0,1,0.2813,0,20795.29,16.66,0.1941,-0.494,0,0.2143,14.39
partner_108,EMEA,Tech,Gold,48,6,declining,8,3.4,27.3,30,1,0,0.118,0,72156.68,-1.19,0.2249,0.3403,0,0.6,-4.76
partner_109,EMEA,Services,Bronze,38,4,improving,3,2.6,22.8,42,0,1,0.5894,0,14268.18,0.45,0.2313,0.4033,0,0.8333,-1.86
partner_110,APAC,Retail,Bronze,38,5,stable,3,2.9,48.2,60,2,1,0.054,0,4188.37,-1.17,0.3254,-0.1284,0,0.1935,-3.44
partner_111,NA,Retail,Silver,53,8,improving,1,0.6,50.0,22,5,0,0.0012,0,29086.19,-20.87,0.2201,0.8174,1,0.6071,-23.14
partner_112,EMEA,Tech,Silver,31,3,declining,2,5.1,27.9,39,0,0,0.237,1,18018.88,-27.08,0.3144,-0.161,0,0.3226,-30.65
partner_113,NA,Manufacturing,Bronze,29,4,stable,4,4.9,46.6,57,0,0,0.312,0,7901.63,-1.11,0.0818,-0.1456,0,0.5152,-1.7
partner_114,NA,Services,Silver,38,6,stable,3,2.4,76.8,26,2,0,0.005,0,23435.62,-13.2,0.1534,0.413,0,0.4,-15.51
partner_115,EMEA,Services,Bronze,14,5,stable,4,3.5,0.5,57,0,0,0.423,1,6365.06,0.27,0.1056,-0.146,0,0.2857,-2.04
partner_116,APAC,Retail,Gold,11,4,improving,5,6.2,40.6,15,0,1,0.3051,0,77706.37,-20.25,0.2,0.6679,1,0.7143,-22.52
partner_117,LATAM,Retail,Bronze,51,6,stable,2,2.6,71.6,20,2,0,0.0046,0,5037.32,-19.85,0.3119,0.0838,0,0.32,-22.12
partner_118,LATAM,Services,Bronze,15,9,declining,1,1.5,75.4,0,3,0,0.0003,0,26904.32,3.44,0.3774,-0.3482,0,1.0,1.13
partner_119,NA,Retail,Bronze,32,7,declining,7,3.8,50.5,32,2,0,0.0122,0,4521.46,-29.99,0.3887,-0.2566,0,0.0851,-32.26
partner_120,LATAM,Services,Bronze,18,3,stable,1,4.5,46.2,42,0,0,0.0632,0,11156.03,32.61,0.1933,0.8217,1,0.6667,30.3
partner_121,NA,Manufacturing,Bronze,16,7,improving,1,3.6,49.8,10,6,1,0.0537,0,6100.8,3.54,0.1082,-0.1318,0,0.2424,2.96
partner_122,LATAM,Retail,Bronze,37,5,declining,8,6.5,34.8,78,0,0,0.6998,1,3423.35,-11.12,0.2857,-0.3232,0,0.08,-13.39
partner_123,EMEA,Services,Bronze,49,8,stable,0,4.2,71.4,67,6,0,0.0076,0,5430.64,-3.41,0.3123,-0.4865,0,0.1905,-5.72
partner_124,NA,Retail,Bronze,28,5,stable,2,7.7,48.8,64,0,0,0.1634,0,8223.63,18.33,0.1871,0.6071,1,0.5532,16.06
partner_125,EMEA,Tech,Bronze,11,5,improving,4,1.2,44.9,32,0,1,0.1024,0,6653.05,-4.93,0.1001,0.2045,0,0.3125,-8.5
partner_126,NA,Manufacturing,Bronze,17,7,improving,5,3.8,55.2,43,2,1,0.0525,0,9058.95,5.92,0.1071,-0.2344,0,0.6667,5.34
partner_127,NA,Tech,Bronze,12,5,stable,6,2.5,41.4,35,3,0,0.0455,0,16347.09,-9.57,0.2167,0.739,1,0.9231,-13.14
partner_128,EMEA,Manufacturing,Bronze,54,6,declining,8,7.1,55.7,36,0,0,0.1209,0,10345.54,-1.41,0.1229,0.1746,0,0.6923,-2.0
partner_129,EMEA,Manufacturing,Bronze,21,7,stable,9,4.4,24.1,75,2,0,0.3951,0,6706.31,-1.64,0.0932,-0.1025,0,0.3462,-2.22
partner_130,NA,Services,Bronze,24,6,improving,3,0.5,44.1,78,1,0,0.1625,0,21669.12,16.96,0.3278,-0.1457,0,0.9545,14.65
partner_131,EMEA,Services,Bronze,7,7,stable,0,2.8,86.1,0,6,0,0.0015,0,11794.42,16.43,0.2914,0.3983,0,0.7381,14.12
partner_132,APAC,Tech,Silver,28,8,stable,3,4.2,54.6,73,2,1,0.0832,0,15860.81,17.66,0.2213,0.8921,1,0.0625,14.09
partner_133,NA,Retail,Gold,56,4,declining,6,6.2,23.6,52,0,0,0.5354,0,77372.92,-2.62,0.0668,-0.1414,0,0.7273,-4.89
partner_134,NA,Manufacturing,Gold,26,8,stable,4,2.2,31.8,32,1,1,0.0689,0,25298.9,-16.5,0.2865,-0.0052,0,0.0909,-17.08
partner_135,NA,Services,Silver,40,4,stable,3,4.7,44.1,55,3,0,0.1825,1,29943.55,0.28,0.0754,0.0969,0,0.6,-2.03
partner_136,EMEA,Tech,Silver,13,1,declining,8,5.8,5.3,111,0,0,0.9913,1,14055.18,4.1,0.2302,-0.1163,0,0.0968,0.53
partner_137,APAC,Tech,Bronze,11,4,stable,4,4.4,34.0,73,0,1,0.6848,0,4139.61,4.27,0.1054,0.0726,0,0.0769,0.7
partner_138,NA,Tech,Silver,45,9,declining,1,3.2,59.5,35,2,0,0.0034,0,38064.03,11.58,0.2849,0.3191,0,0.5333,8.01
partner_139,LATAM,Retail,Silver,6,4,declining,7,4.3,20.0,65,1,1,0.7436,1,40575.54,4.08,0.1964,0.8761,1,0.8929,1.81
partner_140,EMEA,Manufacturing,Silver,29,5,stable,5,6.0,20.8,73,1,1,0.5059,0,17921.97,-4.02,0.22,-0.0345,0,0.3333,-4.6
partner_141,NA,Tech,Gold,21,5,declining,2,3.5,49.3,49,3,0,0.1735,0,78130.36,3.67,0.3435,-0.2924,0,0.6667,0.1
partner_142,NA,Services,Bronze,3,7,improving,2,3.5,70.4,46,1,0,0.0004,0,23519.64,20.3,0.1587,-0.0117,0,0.9773,17.99
partner_143,APAC,Services,Silver,33,4,declining,5,3.3,14.0,51,0,1,0.7481,1,20971.59,-3.88,0.0887,-0.2075,0,0.5294,-6.19
partner_144,NA,Services,Silver,58,9,improving,2,4.7,57.1,0,6,0,0.0002,0,34360.52,4.48,0.1518,0.0224,0,0.7,2.17
partner_145,NA,Tech,Bronze,7,5,improving,4,1.8,74.2,69,0,0,0.0038,0,14082.78,10.14,0.3278,-0.339,0,0.8462,6.57
partner_146,EMEA,Tech,Gold,50,7,declining,5,5.8,58.0,32,0,1,0.5554,0,143245.7,1.27,0.1124,-0.3303,0,1.0,-2.3
partner_147,NA,Manufacturing,Bronze,34,6,declining,2,4.4,51.9,36,4,1,0.0746,0,4829.14,-4.39,0.1868,-0.3378,0,0.1212,-4.97
partner_148,NA,Services,Gold,44,6,stable,6,5.2,27.7,56,0,1,0.1899,0,59997.01,-3.74,0.2599,0.4136,0,0.6,-6.05
partner_149,NA,Tech,Silver,8,4,declining,10,6.8,13.7,61,0,1,0.8621,1,42336.59,5.37,0.3417,-0.2537,0,0.6667,1.8
partner_150,EMEA,Services,Bronze,53,6,declining,4,1.1,51.3,37,0,0,0.1465,0,25229.14,-5.52,0.2042,0.7052,1,1.0,-7.83
partner_151,APAC,Retail,Silver,3,7,stable,5,3.6,35.5,64,0,0,0.0624,0,37516.58,-0.5,0.289,0.0069,0,0.5625,-2.77
partner_152,APAC,Services,Bronze,55,3,declining,7,6.3,43.4,74,0,0,0.8172,1,12872.36,1.39,0.1893,-0.2531,0,0.7419,-0.92
partner_153,EMEA,Retail,Silver,41,8,improving,2,5.7,80.4,41,3,0,0.0018,0,11750.47,-14.28,0.398,-0.2474,0,0.0606,-16.55
partner_154,NA,Retail,Silver,22,7,stable,0,2.5,76.3,35,4,0,0.0027,0,25049.89,0.31,0.1702,-0.0484,0,0.4286,-1.96
partner_155,EMEA,Tech,Silver,3,5,stable,5,0.9,31.5,47,2,1,0.2639,1,15023.1,0.46,0.2127,0.2769,0,0.129,-3.11
partner_156,LATAM,Retail,Gold,38,9,improving,2,2.3,59.9,20,6,1,0.0033,0,172831.51,1.17,0.2522,-0.0411,0,1.0,-1.1
partner_157,EMEA,Retail,Bronze,8,10,improving,0,2.0,51.3,41,3,0,0.0009,0,11484.89,-2.75,0.2505,0.101,0,0.6977,-5.02
partner_158,LATAM,Retail,Bronze,38,1,stable,7,8.2,9.1,74,0,1,0.9872,1,3977.69,3.27,0.1085,-0.2267,0,0.16,1.0
partner_159,LATAM,Tech,Bronze,47,5,stable,3,3.8,50.6,32,1,0,0.1633,1,9436.55,19.47,0.2965,0.927,1,0.5161,15.9
partner_160,LATAM,Services,Bronze,18,9,declining,0,0.5,59.5,33,3,1,0.0049,0,21934.05,25.15,0.3956,-0.3209,0,0.9524,22.84
partner_161,EMEA,Retail,Bronze,16,8,improving,1,3.1,100.0,12,8,1,0.001,0,3548.83,-23.12,0.2728,-0.1322,0,0.0465,-25.39
partner_162,APAC,Manufacturing,Bronze,15,4,stable,5,5.4,48.2,45,0,0,0.3087,0,3229.95,-12.74,0.2496,0.8009,1,0.0833,-13.32
partner_163,EMEA,Services,Bronze,16,6,stable,3,3.4,27.9,44,0,0,0.0643,0,6646.62,-29.93,0.2446,0.7696,1,0.3333,-32.24
partner_164,EMEA,Retail,Bronze,9,10,improving,0,2.3,100.0,28,5,0,0.0001,0,7179.8,-3.62,0.2303,0.8727,1,0.4186,-5.89
partner_165,NA,Retail,Gold,17,10,improving,0,1.4,67.5,31,7,1,0.0007,0,45959.84,-11.26,0.2301,-0.1165,0,0.1818,-13.53
partner_166,NA,Services,Bronze,41,7,improving,2,2.2,79.5,32,1,0,0.0038,0,3706.74,-13.59,0.1914,0.314,0,0.0455,-15.9
partner_167,APAC,Services,Gold,20,10,improving,1,1.1,79.9,0,4,0,0.0,0,109860.56,29.99,0.3229,0.1661,0,0.9091,27.68
partner_168,APAC,Tech,Bronze,48,6,declining,3,3.1,47.8,45,2,1,0.0886,0,21015.28,-3.3,0.2835,0.0976,0,1.0,-6.87
partner_169,NA,Services,Bronze,50,3,declining,4,6.6,23.3,62,0,0,0.7916,1,5849.52,-4.93,0.1582,-0.0385,0,0.2727,-7.24
partner_170,APAC,Retail,Silver,47,5,stable,4,0.7,78.5,19,1,0,0.0049,0,20585.17,-1.13,0.1126,0.1353,0,0.25,-3.4
partner_171,EMEA,Tech,Bronze,34,4,stable,3,5.3,66.7,29,3,0,0.0603,0,6413.8,0.46,0.162,0.5707,1,0.25,-3.11
partner_172,NA,Manufacturing,Bronze,21,7,improving,1,2.2,76.8,30,5,0,0.0083,0,4373.9,4.07,0.0824,-0.2445,0,0.0606,3.49
