partner_id,region,vertical,partner_tier,scoring_path,months_as_partner,avg_monthly_gtv,gtv_trend_3m,gtv_trend_yoy_3m,gtv_seasonal_deviation_pct,gtv_ramp_vs_cohort,nps_score,nps_trend,engagement_score,days_since_last_contact,has_competitor_relationship,predicted_churn_probability,expected_cost_of_inaction,primary_risk_drivers,risk_flag
partner_396,NA,Retail,Strategic,new_partner,8,81631.84,1.28,1.75,0.0,100.02,6,stable,27.7,62,1,0.3866,189357.0,"long contact gap, competitor relationship",🔴 High Risk
partner_783,NA,Retail,Certified,mature,26,31888.77,-25.04,10.16,3.81,0.0,2,declining,16.7,85,1,0.9894,189302.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_910,EMEA,Services,Certified,mature,60,98003.57,38.51,99.84,0.0,0.0,6,declining,14.0,37,0,0.3189,187548.0,weak/declining NPS,🔴 High Risk
partner_524,LATAM,Services,Certified,mature,43,73520.71,-0.82,-1.45,-6.45,0.0,4,declining,51.5,56,1,0.4236,186877.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_733,EMEA,Manufacturing,Certified,mature,37,55789.7,-6.84,-12.92,0.0,0.0,4,improving,13.5,50,1,0.5474,183243.0,"declining GTV, declining year-over-year, weak/declining NPS, competitor relationship",🔴 High Risk
partner_899,EMEA,Retail,Certified,mature,57,31188.48,19.41,50.26,0.0,0.0,2,declining,12.2,60,1,0.9379,175511.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_830,EMEA,Tech,Certified,mature,20,41395.38,-30.19,12.72,9.16,0.0,6,declining,24.6,35,1,0.695,172629.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_258,EMEA,Services,Certified,mature,42,32069.61,-0.25,43.07,0.0,0.0,1,declining,44.4,60,1,0.8885,170972.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_225,EMEA,Retail,Strategic,mature,24,116168.65,6.4,3.85,-1.57,0.0,4,declining,76.5,32,1,0.2388,166434.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_600,LATAM,Retail,Strategic,new_partner,4,126134.82,1.28,1.75,0.0,238.82,5,improving,37.7,17,1,0.2162,163599.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_760,NA,Services,Certified,mature,58,47139.68,16.03,30.97,0.0,0.0,4,declining,19.4,12,1,0.5677,160567.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_681,EMEA,Manufacturing,Certified,mature,13,26333.88,2.07,-6.31,0.0,0.0,0,declining,17.9,96,1,0.9906,156523.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_311,NA,Tech,Strategic,mature,31,76806.08,1.34,-5.69,0.0,0.0,5,declining,33.6,63,0,0.3365,155074.0,"weak/declining NPS, long contact gap",🔴 High Risk
partner_624,NA,Retail,Strategic,mature,57,53653.45,6.95,-19.92,0.0,0.0,3,stable,10.4,55,1,0.4736,152451.0,"declining year-over-year, weak/declining NPS, competitor relationship",🔴 High Risk
partner_154,NA,Retail,Certified,mature,22,38500.29,-13.87,-16.43,0.0,0.0,5,declining,37.4,66,1,0.6488,149882.0,"declining GTV, declining year-over-year, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_974,APAC,Tech,Strategic,mature,42,64896.44,13.59,59.13,0.0,0.0,4,improving,54.2,52,1,0.3715,144653.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_975,NA,Retail,Certified,mature,20,33712.9,-4.75,-10.44,0.0,0.0,3,improving,20.9,83,0,0.7142,144466.0,"declining year-over-year, weak/declining NPS, long contact gap",🔴 High Risk
partner_528,APAC,Tech,Strategic,mature,30,68936.06,8.94,-1.4,0.0,0.0,5,declining,38.0,26,1,0.3471,143579.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_403,LATAM,Services,Certified,mature,20,38917.81,-6.64,-5.22,0.0,0.0,4,improving,20.9,62,1,0.6127,143059.0,"declining GTV, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_455,EMEA,Tech,Certified,mature,30,40963.51,3.05,34.91,0.0,0.0,4,declining,37.7,68,0,0.5702,140136.0,"weak/declining NPS, long contact gap",🔴 High Risk
partner_190,EMEA,Manufacturing,Strategic,mature,29,86394.97,-15.5,-21.21,0.0,0.0,3,improving,24.6,33,1,0.2691,139479.0,"declining GTV, declining year-over-year, weak/declining NPS, competitor relationship",🔴 High Risk
partner_288,NA,Tech,Certified,new_partner,6,79285.94,1.28,1.75,0.0,232.17,8,declining,44.2,68,0,0.2931,139413.0,"weak/declining NPS, long contact gap",🔴 High Risk
partner_44,NA,Manufacturing,Strategic,mature,46,151162.25,7.54,66.77,0.0,0.0,5,stable,37.8,8,1,0.1536,139330.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_691,EMEA,Services,Strategic,mature,29,266978.87,15.78,56.3,0.0,0.0,9,declining,46.6,22,0,0.0848,135816.0,weak/declining NPS,🔴 High Risk
partner_423,EMEA,Tech,Certified,mature,13,23391.27,-15.74,-43.0,0.0,0.0,3,declining,0.0,73,0,0.9627,135116.0,"declining GTV, declining year-over-year, weak/declining NPS, long contact gap",🔴 High Risk
partner_885,EMEA,Tech,Certified,new_partner,5,27554.69,1.28,1.75,0.0,-31.54,5,declining,28.8,73,1,0.782,129291.0,"ramping behind cohort norm for a new partner, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_693,EMEA,Retail,Strategic,mature,51,63274.54,-4.11,0.85,0.0,0.0,7,stable,26.9,82,0,0.3339,126755.0,long contact gap,🔴 High Risk
partner_301,LATAM,Retail,Strategic,mature,22,99032.09,15.18,13.57,0.0,0.0,6,improving,68.2,91,1,0.2124,126194.0,"long contact gap, competitor relationship",🔴 High Risk
partner_32,APAC,Manufacturing,Certified,mature,44,36964.41,10.63,69.91,0.0,0.0,3,stable,29.2,60,0,0.5688,126150.0,weak/declining NPS,🔴 High Risk
partner_554,APAC,Tech,Strategic,mature,31,43039.47,-16.27,-27.15,0.0,0.0,4,declining,32.6,25,1,0.4883,126100.0,"declining GTV, declining year-over-year, weak/declining NPS, competitor relationship",🔴 High Risk
partner_490,NA,Tech,Certified,mature,9,55681.97,-3.05,9.61,3.3,0.0,5,stable,55.5,69,1,0.3698,123561.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_979,NA,Manufacturing,Certified,mature,38,33763.51,-1.21,-7.27,0.0,0.0,5,declining,52.0,78,1,0.6035,122252.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_480,NA,Tech,Strategic,mature,21,61926.12,0.27,13.86,0.0,0.0,7,declining,33.1,63,0,0.3246,120598.0,"weak/declining NPS, long contact gap",🔴 High Risk
partner_943,EMEA,Tech,Certified,mature,32,24749.15,-36.5,-13.05,-12.87,0.0,3,stable,16.8,98,1,0.8071,119858.0,"underperforming their own normal season, declining year-over-year, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_377,APAC,Manufacturing,Strategic,mature,11,102210.62,9.69,37.42,0.0,0.0,8,improving,38.6,50,1,0.1947,119397.0,competitor relationship,🔴 High Risk
partner_156,LATAM,Retail,Strategic,mature,38,82814.13,7.71,60.78,0.0,0.0,5,improving,62.6,89,0,0.2393,118907.0,"weak/declining NPS, long contact gap",🔴 High Risk
partner_823,EMEA,Tech,Registered,mature,60,19636.61,-12.82,-16.28,0.0,0.0,0,improving,8.4,96,1,0.9774,115152.0,"declining GTV, declining year-over-year, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_429,EMEA,Services,Certified,mature,42,49582.41,5.77,32.1,0.0,0.0,4,stable,21.9,38,1,0.3864,114940.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_564,LATAM,Services,Certified,new_partner,4,21868.9,1.28,1.75,0.0,-24.34,4,declining,16.6,68,1,0.862,113102.0,"ramping behind cohort norm for a new partner, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_775,EMEA,Manufacturing,Certified,mature,57,36369.73,8.3,36.98,0.0,0.0,5,declining,23.0,54,1,0.5118,111677.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_438,NA,Tech,Certified,mature,19,18907.68,5.94,10.43,0.0,0.0,3,declining,0.6,76,1,0.9814,111339.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_576,NA,Retail,Certified,mature,27,43338.78,3.75,3.74,0.0,0.0,5,improving,31.7,64,1,0.4261,110805.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_857,LATAM,Retail,Certified,mature,43,33731.44,0.55,-13.01,-10.73,0.0,5,stable,23.0,64,1,0.5404,109380.0,"underperforming their own normal season, declining year-over-year, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_391,LATAM,Services,Certified,mature,47,33499.65,18.98,48.42,0.0,0.0,4,stable,26.6,61,1,0.5435,109243.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_514,EMEA,Manufacturing,Registered,new_partner,8,22376.08,1.28,1.75,0.0,46.53,4,declining,41.3,73,1,0.8009,107524.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_309,EMEA,Retail,Certified,mature,25,52045.87,-19.89,24.68,16.08,0.0,6,declining,46.9,18,1,0.3382,105618.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_902,EMEA,Retail,Strategic,mature,43,70221.87,2.24,-2.8,7.97,0.0,4,improving,49.3,31,1,0.2485,104710.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_507,NA,Manufacturing,Strategic,mature,58,19230.29,-1.36,-8.22,0.0,0.0,3,declining,13.8,73,1,0.8926,102993.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_883,APAC,Tech,Certified,mature,47,60492.09,8.0,22.68,0.0,0.0,4,declining,48.0,26,1,0.2829,102666.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_725,EMEA,Tech,Registered,mature,18,32128.87,5.52,75.24,0.0,0.0,5,stable,46.0,99,1,0.5303,102232.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_537,NA,Services,Certified,mature,22,21168.41,-16.92,-39.53,0.0,0.0,3,stable,18.7,58,1,0.8027,101953.0,"declining GTV, declining year-over-year, weak/declining NPS, competitor relationship",🔴 High Risk
partner_460,LATAM,Tech,Certified,mature,31,23598.99,-8.68,-27.1,-10.79,0.0,5,stable,0.0,55,1,0.7175,101589.0,"underperforming their own normal season, declining year-over-year, weak/declining NPS, competitor relationship",🔴 High Risk
partner_485,EMEA,Manufacturing,Certified,mature,44,19261.57,-0.92,-24.06,0.0,0.0,2,stable,0.0,47,1,0.8721,100789.0,"declining year-over-year, weak/declining NPS, competitor relationship",🔴 High Risk
partner_202,APAC,Manufacturing,Strategic,mature,58,144419.5,18.8,29.78,0.0,0.0,5,stable,48.8,28,1,0.113,97935.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_30,LATAM,Tech,Certified,mature,19,26318.8,-5.91,-31.47,0.0,0.0,3,stable,35.4,73,1,0.6176,97519.0,"declining GTV, declining year-over-year, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_133,NA,Retail,Strategic,mature,56,46970.37,2.21,1.19,0.0,0.0,5,stable,39.6,66,1,0.3455,97363.0,"weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_131,EMEA,Services,Registered,new_partner,7,17873.55,1.28,1.75,0.0,111.15,1,stable,26.6,50,1,0.8978,96285.0,"weak/declining NPS, competitor relationship",🔴 High Risk
partner_556,EMEA,Services,Certified,mature,33,25636.92,-8.61,-5.52,0.0,0.0,5,declining,36.5,69,0,0.6127,94249.0,"declining GTV, weak/declining NPS, long contact gap",🔴 High Risk
partner_501,LATAM,Manufacturing,Registered,mature,10,16774.34,-5.31,-5.06,0.0,0.0,3,stable,30.7,107,1,0.9212,92713.0,"declining GTV, weak/declining NPS, long contact gap, competitor relationship",🔴 High Risk
partner_888,EMEA,Retail,Strategic,mature,24,140889.62,20.23,60.27,0.0,0.0,6,stable,49.9,36,1,0.1095,92567.0,competitor relationship,🔴 High Risk
partner_909,EMEA,Services,Strategic,mature,12,97881.95,-8.86,0.45,-0.59,0.0,6,improving,33.0,50,1,0.156,91602.0,competitor relationship,🔴 High Risk
partner_450,LATAM,Retail,Certified,mature,11,18641.58,-0.5,-19.01,0.0,0.0,4,stable,5.1,53,1,0.8101,90614.0,"declining year-over-year, weak/declining NPS, competitor relationship",🔴 High Risk
partner_387,LATAM,Manufacturing,Strategic,mature,31,50978.85,26.18,0.61,9.89,0.0,5,stable,40.1,53,1,0.2952,90300.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_934,LATAM,Services,Strategic,mature,38,38781.72,-11.53,-20.09,0.0,0.0,4,stable,32.7,49,1,0.3873,90119.0,"declining GTV, declining year-over-year, weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_273,EMEA,Tech,Certified,mature,36,18157.84,1.72,2.37,0.0,0.0,4,declining,26.1,65,1,0.8091,88151.0,"weak/declining NPS, long contact gap, competitor relationship",🟡 Medium Risk
partner_699,LATAM,Services,Registered,mature,22,21542.53,20.18,82.1,0.0,0.0,4,improving,21.3,71,1,0.6774,87564.0,"weak/declining NPS, long contact gap, competitor relationship",🟡 Medium Risk
partner_721,NA,Retail,Certified,mature,52,24056.15,5.07,31.49,0.0,0.0,4,stable,24.9,52,1,0.6059,87455.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_248,NA,Retail,Certified,mature,29,29995.18,-2.75,16.45,3.37,0.0,6,declining,41.5,39,1,0.4843,87158.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_621,LATAM,Retail,Strategic,mature,9,66220.53,16.35,9.14,8.01,0.0,6,stable,28.2,41,1,0.2169,86160.0,competitor relationship,🟡 Medium Risk
partner_167,APAC,Services,Strategic,mature,20,109459.18,10.38,20.39,0.0,0.0,7,stable,47.8,61,1,0.1308,85905.0,"long contact gap, competitor relationship",🟡 Medium Risk
partner_669,EMEA,Retail,Certified,mature,29,21287.4,-0.67,-11.74,0.0,0.0,3,declining,51.3,71,0,0.6721,85850.0,"declining year-over-year, weak/declining NPS, long contact gap",🟡 Medium Risk
partner_739,NA,Tech,Certified,mature,24,16817.49,-19.56,-41.72,0.0,0.0,2,declining,12.7,47,0,0.8427,85029.0,"declining GTV, declining year-over-year, weak/declining NPS",🟡 Medium Risk
partner_563,APAC,Services,Certified,mature,30,36209.41,1.27,38.1,0.0,0.0,6,stable,33.5,37,1,0.3878,84253.0,competitor relationship,🟡 Medium Risk
partner_297,APAC,Retail,Certified,mature,11,47299.61,-0.44,9.82,-0.53,0.0,6,declining,47.9,38,1,0.2932,83218.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_494,NA,Services,Strategic,mature,23,54322.07,-2.65,-32.01,0.0,0.0,4,stable,44.9,59,0,0.2544,82902.0,"declining year-over-year, weak/declining NPS",🟡 Medium Risk
partner_502,APAC,Services,Certified,mature,59,14643.72,-15.5,-29.37,0.0,0.0,2,declining,30.9,81,1,0.9157,80452.0,"declining GTV, declining year-over-year, weak/declining NPS, long contact gap, competitor relationship",🟡 Medium Risk
partner_531,LATAM,Tech,Certified,new_partner,6,23393.39,1.28,1.75,0.0,-69.42,4,improving,42.7,74,1,0.5696,79949.0,"ramping behind cohort norm for a new partner, weak/declining NPS, long contact gap, competitor relationship",🟡 Medium Risk
partner_853,APAC,Tech,Certified,mature,42,22050.43,-9.28,-3.17,0.0,0.0,5,declining,22.2,75,0,0.5878,77762.0,"declining GTV, weak/declining NPS, long contact gap",🟡 Medium Risk
partner_443,LATAM,Retail,Registered,mature,34,28855.2,4.64,40.86,0.0,0.0,7,stable,21.3,70,1,0.4445,76964.0,"long contact gap, competitor relationship",🟡 Medium Risk
partner_697,LATAM,Retail,Certified,mature,54,37832.15,16.35,41.29,0.0,0.0,6,declining,52.6,41,1,0.3369,76482.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_51,EMEA,Manufacturing,Strategic,mature,27,74028.6,15.4,13.56,6.11,0.0,6,stable,47.3,35,1,0.1697,75364.0,competitor relationship,🟡 Medium Risk
partner_378,NA,Services,Certified,mature,11,36765.51,-12.39,8.84,15.07,0.0,5,declining,42.9,12,1,0.3362,74163.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_428,APAC,Retail,Certified,mature,37,28749.6,52.94,24.4,21.72,0.0,2,stable,58.4,42,1,0.4292,74044.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_196,EMEA,Retail,Certified,mature,25,28872.75,6.0,12.42,0.0,0.0,7,improving,32.2,74,1,0.4272,74004.0,"long contact gap, competitor relationship",🟡 Medium Risk
partner_68,NA,Manufacturing,Strategic,mature,16,30462.34,-18.57,-39.85,0.0,0.0,7,declining,26.7,109,0,0.3941,72031.0,"declining GTV, declining year-over-year, weak/declining NPS, long contact gap",🟡 Medium Risk
partner_919,NA,Manufacturing,Registered,new_partner,7,16078.1,1.28,1.75,0.0,15.25,4,stable,7.0,56,1,0.7416,71545.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_955,APAC,Services,Certified,mature,27,39422.92,3.09,-28.11,0.0,0.0,3,stable,51.8,67,1,0.3018,71388.0,"declining year-over-year, weak/declining NPS, long contact gap, competitor relationship",🟡 Medium Risk
partner_906,LATAM,Tech,Certified,new_partner,3,57546.89,1.28,1.75,0.0,82.0,6,declining,45.4,17,1,0.2057,71033.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_529,LATAM,Retail,Certified,mature,51,22486.91,-0.67,1.46,0.0,0.0,7,declining,26.8,52,1,0.5168,69726.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_931,EMEA,Manufacturing,Certified,new_partner,8,15545.04,1.28,1.75,0.0,-69.41,5,declining,26.0,71,1,0.7475,69723.0,"ramping behind cohort norm for a new partner, weak/declining NPS, long contact gap, competitor relationship",🟡 Medium Risk
partner_358,LATAM,Tech,Certified,new_partner,3,17727.95,1.28,1.75,0.0,-71.12,6,improving,20.8,99,1,0.6454,68655.0,"ramping behind cohort norm for a new partner, long contact gap, competitor relationship",🟡 Medium Risk
partner_579,APAC,Services,Registered,mature,10,14408.17,32.03,54.77,0.0,0.0,4,declining,53.2,73,1,0.7916,68431.0,"weak/declining NPS, long contact gap, competitor relationship",🟡 Medium Risk
partner_913,APAC,Services,Certified,mature,20,27290.04,-6.54,-3.32,0.0,0.0,5,stable,34.6,77,1,0.4165,68206.0,"declining GTV, weak/declining NPS, long contact gap, competitor relationship",🟡 Medium Risk
partner_230,EMEA,Retail,Certified,mature,29,21030.59,-18.36,7.41,0.05,0.0,6,declining,33.4,72,0,0.5383,67929.0,"weak/declining NPS, long contact gap",🟡 Medium Risk
partner_64,LATAM,Manufacturing,Registered,new_partner,6,18328.92,1.28,1.75,0.0,26.53,4,stable,38.6,65,1,0.6147,67602.0,"weak/declining NPS, long contact gap, competitor relationship",🟡 Medium Risk
partner_545,EMEA,Tech,Certified,mature,13,22793.52,-0.47,-29.52,0.0,0.0,4,stable,40.8,55,1,0.4887,66837.0,"declining year-over-year, weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_688,APAC,Tech,Certified,mature,9,33744.55,3.01,44.07,0.0,0.0,3,stable,69.0,77,0,0.3212,65024.0,"weak/declining NPS, long contact gap",🟡 Medium Risk
partner_582,NA,Tech,Certified,mature,23,53286.77,15.16,25.7,0.0,0.0,5,improving,46.1,45,1,0.2026,64767.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_275,LATAM,Retail,Strategic,mature,35,59203.41,11.42,9.82,3.95,0.0,5,stable,34.5,26,1,0.1819,64618.0,"weak/declining NPS, competitor relationship",🟡 Medium Risk
partner_386,APAC,Retail,Certified,mature,35,74272.01,8.37,66.42,0.0,0.0,7,improving,68.0,78,1,0.1444,64357.0,"long contact gap, competitor relationship",🟡 Medium Risk
